"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"rmse",1,1,1,1,1,1,1,1,1,1,1,1
"rmse",0.721097002636227,0.714516898988982,0.782513829246264,0.746072906857755,0.730710809867496,0.807939129242917,0.712353104413901,0.709722542840227,0.713953082396059,0.663465208745784,0.652368086464977,0.585726274249695
"rmse",0.699821281985321,0.692740817512252,0.787649531316795,0.752814899343377,0.742751639289056,0.820935650490301,0.7135598047173,0.705172150220328,0.720342423844695,0.669866018312292,0.653004089016906,0.587929368042457
"rmse",0.716529087630608,0.692111724273522,0.787442888289341,0.740097534648999,0.737671076657278,0.81082679572765,0.71976737987151,0.718026179923693,0.734934573045215,0.681570735958432,0.660060120655019,0.590856195699716
"rmse",0.692253701276282,0.692049291637682,0.794506463979589,0.763957249732501,0.748144065949321,0.821931434202883,0.711681452939686,0.70560289979294,0.719667120473079,0.668539689629172,0.65387899900964,0.592629852611494
"rmse",0.715834599569925,0.695150747032912,0.78957336380432,0.751690171516464,0.736785017087039,0.811976104855903,0.717295762701439,0.711073834100759,0.727495135752917,0.675670451918049,0.659672530556027,0.583684056448325
"rmse",0.722635670559241,0.723222549251351,0.812671603859631,0.768465615746093,0.754221455469803,0.828550773060875,0.70872758707131,0.7042415687175,0.721065676209307,0.675251376434126,0.661587063639436,0.59171599469379
"rmse",0.689123901227799,0.686883063997164,0.756799190497215,0.72939549337315,0.734309172107805,0.81776517903619,0.722706901231249,0.71855129909638,0.737750134265333,0.690678354160598,0.679677615163788,0.606734009790223
"rmse",0.747374954893583,0.750997117676114,0.818979805865105,0.776222711077676,0.765592866934117,0.802186719737429,0.705268041104268,0.711737657364879,0.709382449494819,0.670739789370589,0.670771966363271,0.590247473490538
"rmse",0.710445824232765,0.723308029213305,0.813486125757621,0.778274585493237,0.761238070797439,0.837777473143643,0.732872045936122,0.718088144511747,0.762202009893734,0.705871608745645,0.688112949898919,0.61850887759847
"rmse",0.699528901440764,0.715835290862777,0.781933141749186,0.750683034448197,0.736064887497772,0.813583815222797,0.717781784580018,0.715237701970101,0.733824799237321,0.686806117808402,0.661988180754986,0.59357191071237
"rmse",0.711948008102707,0.698087589097996,0.84067975143745,0.7591928737762,0.797236956211192,0.861090990265329,0.735528320928201,0.821417295128052,0.779231221911942,0.750743694886306,0.724305129402425,0.63864165092911
